namespace,zh_hans,ja
DiceHeader,你的犯意,あなたの犯意は
DiceHeader,你的犯罪冲动,あなたの犯罪衝動は
DiceHeader,你的猜测,あなたの推測は
DiceHeader,你的行动,あなたの行動は
DiceHeader,你的觉悟,あなたの覚悟は
DiceHeader,你的解释,あなたの説明は
DiceHeader,你的警觉,あなたの警戒心は
DiceHeader,你的辩解,あなたの弁解は
DiceHeader,你的遭遇,あなたの遭遇は
DiceHeader,你的野心,あなたの野心は
DiceHeader,你的领悟,あなたの悟り
DiceHeader,你的领悟,あなたの悟りは
DiceHeader,你的飞行方向,あなたの飛行方向は
DiceHeader,你睡了吗,眠っているか
DiceHeader,你试的药,あなたが試した薬は
DiceHeader,你说了啥,あなたの発言は
DiceHeader,修练成效,修練の成果
DiceHeader,做什么,何をするか
DiceHeader,做点事情吧,何かしよう
DiceHeader,全真派印象,全真派の印象
DiceHeader,决定看的书,読む本を決める
DiceHeader,决斗结果,決闘の結果は
DiceHeader,出使峨嵋派的结果,峨嵋派への使者の結果は
DiceHeader,出使青城派的结果,青城派への使者の結果は
DiceHeader,出手相助斗笠人,笠の男を助ける
DiceHeader,剪药的结果,薬を切った結果は
DiceHeader,办妥了是说,解決したというのは
DiceHeader,南宫世家印象,南宮家の印象
DiceHeader,南宫深的反应,南宮深の反応は
DiceHeader,南宫深的回答,南宮深の回答は
DiceHeader,南宫远的行动,南宮遠の行動は
DiceHeader,发觉,気付く
DiceHeader,可疑行径的威慑力,不審な行動の威嚇力は
DiceHeader,叶云舟的想法,葉雲舟の考えは
DiceHeader,叶云裳在喇逼鵰,葉雲裳が出鱈目を言う
DiceHeader,叶云裳的今日点心,葉雲裳の今日のおやつは
DiceHeader,叶云裳的冲击,葉雲裳の衝撃
DiceHeader,叶云裳的办法,葉雲裳の方法は
DiceHeader,叶云裳的探索成果,葉雲裳の探索成果は
DiceHeader,叶云裳的行径,葉雲裳の行状は
DiceHeader,叶云裳给的秘籍,葉雲裳がくれた秘笈は
DiceHeader,叶云裳采取的行动,葉雲裳の取る行動は
DiceHeader,向无忧的态度,向無憂の態度は
DiceHeader,向无忧的目标,向無憂の目標は
DiceHeader,吕翁的提议,呂翁の提案は
DiceHeader,咬你的是,あなたに噛みついたのは
DiceHeader,哪个是真的大师兄,どっちが本物の大師兄か
DiceHeader,唐芳药材回收程度,唐芳の薬材回収の割合は
DiceHeader,唐门伤亡,唐門の被害は
DiceHeader,唬烂结果,ハッタリの結果は
DiceHeader,四师兄的决策,四師兄の決断は
DiceHeader,四师兄的回馈,四師兄の返答は
DiceHeader,四师兄送你的东西,四師兄から贈られた品は
DiceHeader,在那之前,その前に
DiceHeader,声波对你的影响,音波があなたに与える影響
DiceHeader,夏侯兰的决定,夏侯蘭の決断は
DiceHeader,夏侯兰的首肯,夏侯蘭の承諾は
DiceHeader,大家的意见,皆の意見は
DiceHeader,大师兄召唤术,大師兄の召喚術
DiceHeader,大师兄所在,大師兄の居場所は
DiceHeader,大师兄的抉择,大師兄の決断は
DiceHeader,大师兄的绝招,大師兄の必殺技は
DiceHeader,大师姑今日的心情,大師姑の今日の機嫌は
DiceHeader,大院的情况,大院の状況は
DiceHeader,天武门的反应,天武門の反応は
DiceHeader,她就是,彼女は
DiceHeader,如何回应,どう応えるか
DiceHeader,如何处置,どう処置する
DiceHeader,实际的伤势,実際の怪我は
DiceHeader,客栈的消遣,宿屋での気晴らし
DiceHeader,对上官隼沟通策略,上官隼への交渉戦略
DiceHeader,对手是,相手は
DiceHeader,对阎关三煞唬烂,閻関三煞に虚勢を張る
DiceHeader,小师妹想好了吗,小師妹は考えたか
DiceHeader,小师妹的决策,小師妹の決断は
DiceHeader,小师妹的反应,小師妹の反応は
DiceHeader,小师妹的想法,小師妹の考えは
DiceHeader,小师妹的抵抗,小師妹の抵抗
DiceHeader,小梅的厨艺,小梅の料理の腕前
DiceHeader,小梅的心,小梅の心は
DiceHeader,小梅的意见,小梅の意見は
DiceHeader,小竹的勇气,竹の勇気
DiceHeader,小竹的方针,竹の方針は
DiceHeader,岭南派的意见,嶺南派の意見
DiceHeader,峨嵋派印象,峨嵋派の印象
DiceHeader,崆峒派印象,崆峒派の印象
DiceHeader,崆峒派的答复,崆峒派の返答は
DiceHeader,嵩山派印象,嵩山派の印象
DiceHeader,巴结行动,へつらい行動
DiceHeader,带媒人的数量,仲人の人数は
DiceHeader,店小二的心,店員の心は
DiceHeader,弟子出走结果,弟子出奔の結果は
DiceHeader,弟子的反应,弟子の反応は
DiceHeader,弟子的回应,弟子の返答は
DiceHeader,弟子的意图,弟子の意図は
DiceHeader,往下跳的结果,飛び降りた結果は
DiceHeader,心跳程度,ときめき度は
DiceHeader,怎么办,どうする
DiceHeader,怎么办呢,どうするか
DiceHeader,思想战的胜负,思想戦の勝敗は
DiceHeader,惊吓指数,びっくり指数は
DiceHeader,惊吓程度,びっくり指数
DiceHeader,愤怒指数,怒りの指数は
DiceHeader,打击程度,打撃の程度は
DiceHeader,打发时间读书,暇つぶしに読書
DiceHeader,打听的事,聞き出したい事は
DiceHeader,打破沉默的是,沈黙を破るのは
DiceHeader,打算下的毒,盛ろうとする毒は
DiceHeader,找工作的际遇,仕事探しの巡り合わせは
DiceHeader,找零工赚点快钱,日雇いで小銭を稼ぐ
DiceHeader,抉择,決断
DiceHeader,抓获的丐帮弟子,捕らえた丐帮弟子は
DiceHeader,招募弟子结果,弟子募集の結果は
DiceHeader,拦截,阻止
DiceHeader,拦路者何人,行く手を阻む者は
DiceHeader,挑战者是,挑戦者は
DiceHeader,挑战飞石帮,飛石幇への挑戦
DiceHeader,掌门令牌,掌門令牌
DiceHeader,掌门找你的原因,掌門があなたを呼んだ理由は
DiceHeader,接下来,次は
DiceHeader,接下来,それからは
DiceHeader,接下来去哪,次はどこへ
DiceHeader,推举出的人选,推薦された人物は
DiceHeader,收服弟子,弟子を服従させる
DiceHeader,故意朝你撞过来,わざとぶつかってきた
DiceHeader,新娘子人选,花嫁候補は
DiceHeader,新花样,新しい物を
DiceHeader,是什么酒,何の酒か
DiceHeader,是否会意,意を汲むか否か
DiceHeader,是否听过万里鹏程,万里鵬程を聞いたことがあるか
DiceHeader,是否听过杏梢锦囊,杏梢錦囊を聞いたことがあるか
DiceHeader,是否携带药材,薬材を持っているか
DiceHeader,是否烤鸡,鶏を焼くか
DiceHeader,是否预购活侠传呢,活俠傳を予約購入するか
DiceHeader,暗器向你射来,暗器があなたに飛んでくる
DiceHeader,暴怒指数,激怒指数
DiceHeader,有人坠马,落馬した者は
DiceHeader,有人来了,誰か来た
DiceHeader,有礼物吗,贈り物はあるか
DiceHeader,有趣的事情,面白いこととは
DiceHeader,朱婶的意向,朱おばさんの意向は
DiceHeader,村民的想法,村人の考えは
DiceHeader,来者何人,誰か来た
DiceHeader,树屋规格,樹上小屋の規格は
DiceHeader,樊啸天拔的草,樊嘯天が抜いた草は
DiceHeader,樊啸天的理智,樊嘯天の理性
DiceHeader,此人就是,この人は
DiceHeader,武林人的回应,武林人の反応は
DiceHeader,武林盟的消耗,武林盟の消耗は
DiceHeader,死亡擂台对手,死の闘技場の対戦相手は
DiceHeader,段智秀的问题,段智秀の問いは
DiceHeader,段考的考官,試験の試験官は
DiceHeader,毒药的威力,毒薬の威力は
DiceHeader,比拼内力,内力の競い合い
DiceHeader,温夫人的想法,温夫人の考えは
DiceHeader,游伴是,遊び相手は
DiceHeader,点苍派印象,点蒼派の印象
DiceHeader,现场的失控程度,現場の混乱度は
DiceHeader,理解二师兄的深意,二師兄の真意を理解する
DiceHeader,理解二师兄的行为,二師兄の行動を理解する
DiceHeader,由谁出战,誰が出陣するか
DiceHeader,由谁出战,出陣するのは
DiceHeader,申屠龙对你的安排,申屠龍の采配は
DiceHeader,申屠龙挣扎中,申屠龍の抵抗
DiceHeader,画中仙的抉择,画中仙の選択は
DiceHeader,睡觉,寝る
DiceHeader,站哨,見張り
DiceHeader,第一个刺客是,最初の刺客は
DiceHeader,第一战,第一戦
DiceHeader,第三香给的东西,第三香が渡した物は
DiceHeader,第二个刺客是,二番目の刺客は
DiceHeader,精神伤害判定,精神損傷判定
DiceHeader,精神伤害鉴定,精神損傷鑑定
DiceHeader,练药是否成功,薬の調合は成功するか
DiceHeader,结果,結果は
DiceHeader,考官是,試験官は
DiceHeader,考虑离开唐门,唐門を去ることを考える
DiceHeader,背后劲风来袭,背後から勁風が襲う
DiceHeader,胜利者是,勝者は
DiceHeader,胜负,勝負
DiceHeader,落跑的唐门弟子,逃げ出した唐門の弟子は
DiceHeader,蒙面人送你的秘籍,覆面の者が贈った秘笈は
DiceHeader,被采纳的意见是,採用された意見は
DiceHeader,要做什么呢,何をするか
DiceHeader,要读什么书呢,何の本を読むか
DiceHeader,解无尘的来意,解無塵の来意は
DiceHeader,论战胜负,論戦の勝敗は
DiceHeader,试图说服唐门弟子,唐門弟子を説得する試み
DiceHeader,说服,説得
DiceHeader,说点什么,何か言う
DiceHeader,谁先放手,誰が先に手を放すか
DiceHeader,调息的效果,調息の効果は
DiceHeader,赌博胜负,賭博の勝負は
DiceHeader,赌博胜负,賭博の勝敗は
DiceHeader,赢钱了吗,勝ったか
DiceHeader,走了多少人,何人去ったか
DiceHeader,运功疗伤,運功治療
DiceHeader,还剩下你,まだあなたがいるが
DiceHeader,这场论战的胜负,この論戦の勝敗は
DiceHeader,追击结果,追撃の結果は
DiceHeader,退隐江湖,江湖を引退する
DiceHeader,逃脱,逃げる
DiceHeader,那么人选,その人選は
DiceHeader,重要的事情,重要なこととは
DiceHeader,门派抽签结果,門派抽選結果は
DiceHeader,闪避,回避
DiceHeader,阁下便是,あなたが
DiceHeader,集体坠落,集団墜落
DiceHeader,青城派印象,青城派の印象
DiceHeader,顾药的结果,薬の番の結果は
DiceHeader,领悟其中之意,その意味を悟る
DiceHeader,飞渡破损栈道,破損した桟道を飛び越える
DiceHeader,骂段智秀,段智秀を罵る
DiceHeader,鬼卒的叉尖所向,鬼卒の叉の切っ先が向く先は
DiceHeader,龙湘的反应,龍湘の反応は
DiceHeader,龙湘的怀疑,龍湘の疑念は
DiceHeader,龙湘的想法,龍湘の考えは
DiceHeader,龙湘的特征,龍湘の特徴
DiceHeader,龙湘的真面目,龍湘の真の姿は
DiceHeader,龙湘的觉悟,龍湘の覚悟は
DiceHeader,龙湘的钱包,龍湘の財布は
Equip,万灵油,万霊油
Equip,三阴虫草胶,三陰蟲草膠
Equip,乌水仙,烏水仙
Equip,乖乖水,乖乖水
Equip,似草针,似草針
Equip,切鱼刀,魚切り包丁
Equip,南蝥礜石散,南蝥礜石散
Equip,唐门传承小剑,唐門伝承短剣
Equip,唐门制服,唐門制服
Equip,唐门小剑,唐門短剣
Equip,唐门祖师剑,唐門祖師剣
Equip,唐门菁英小剑,唐門精鋭短剣
Equip,地鸣雷,地鳴雷
Equip,密密缝,密密縫
Equip,护心镜,護心鏡
Equip,无形箭,無形矢
Equip,沥泉小剑,瀝泉短剣
Equip,流星箭,流星矢
Equip,牛皮制服,牛革の制服
Equip,猛火油柜,猛火油櫃
Equip,玉霄神匕,玉霄神匕
Equip,睡丹,睡丹
Equip,神奇球,神奇球
Equip,穿心龙胆汤,穿心龍膽湯
Equip,纸甲,紙甲
Equip,胡椒粉丸,胡椒粉丸
Equip,脱手镖,脱手鏢
Equip,袖里箭,袖裏矢
Equip,赤炼砂,赤煉砂
Equip,轻量化,軽量化
Equip,金钱剑,金銭剣
Equip,铁橄榄,鉄橄欖
Equip,雷火弹,雷火弾
Equip,鞭炮,爆竹
Equip,飞梭,飛梭
Equip,飞煌石,飛蝗石
Library,一刀两断,一刀両断
Library,一心一意,一途
Library,上官萤的制裁,上官螢の制裁
Library,下旬+1,下旬+1
Library,与妳同行,君とともに
Library,与花合葬,花と共に葬られる
Library,世外桃源,世外桃源（せがいとうげん）
Library,丧家之犬,負け犬
Library,丧家之犬的末路,負け犬の末路
Library,中旬+1,中旬+1
Library,为虎作伥,虎の威を借る狐
Library,乱战中被践踏而死,乱戦中に踏み潰されて死亡
Library,人为财死,人は財のために死す
Library,人间道,人間道
Library,传说之下,伝説の下に
Library,传说之人,伝説の人
Library,假掰致死,見栄っ張り死
Library,假死变真死,死んだふりが本当の死に
Library,偷吃被老丈人砍死,浮気して義父に斬り殺される
Library,全军覆没,全滅
Library,全家餐,一家団欒の食事
Library,公报私仇杀,私怨による殺害
Library,六亲不认的胖子,身内にも容赦ないデブ
Library,再世庞统,龐統の再来
Library,出身未捷身先死,出師未だ捷たず身先ず死す
Library,分身,分身
Library,分身而死,分身して死す
Library,划地为牢,地を画して牢と為す
Library,千古名匠,千古の名匠
Library,君所愿兮江湖行,君が願うは江湖の旅路
Library,含冤莫白,無念の死
Library,含恨而死,恨みを抱いて死す
Library,吸毒死,毒を吸って死す
Library,命中有数,これも命数
Library,命如草芥,命は草芥の如し
Library,咎由自取,自業自得
Library,唐门叛徒,唐門の裏切り者
Library,唐门女婿,唐門の婿
Library,唐门的暗器,唐門の暗器
Library,唐门薪火,唐門の灯火
Library,回疆隐居,回疆での隠居
Library,围殴致死,タコ殴り死
Library,天地无声,天地無音
Library,失宠,失寵
Library,孤独死,孤独死
Library,孤独终老,孤独な晩年
Library,宦海浮沉,官海に浮き沈む
Library,富甲一方,地方の富豪
Library,小师妹的制裁,小師妹の制裁
Library,小梅的千里追杀,小梅の千里追撃
Library,小梅私藏,小梅の秘蔵
Library,小菜之死,前菜の死
Library,屁力焦蛙,屁力（へきれき）爆発
Library,山中法度,山中の掟
Library,山中老人,山の翁
Library,山林隐逸,山林の隠遁者
Library,峨嵋弟子,峨嵋の弟子
Library,崭露头角,頭角を現す
Library,师门砥柱,師門の柱
Library,开启命运收束之力,運命収束の力が解放される
Library,忘忧侠侣,忘憂の俠侶
Library,快剑封喉,瞬剣による喉斬り
Library,忽然就死了,突然死
Library,恐惧而死,恐怖死
Library,恩仇的尽头,恩讐の果て
Library,恶人自有恶人磨,毒をもって毒を制す
Library,恶贯满盈,悪逆非道の報い
Library,慷慨就义,義に殉じ
Library,懦夫救星,臆病者の救世主
Library,我在唐门谷底,唐門の谷底にて
Library,手贱而死,手癖が悪くて死す
Library,找死,死を見つける
Library,护花死者,花を守る死者
Library,揍我,殴ってくれ
Library,搞失踪,失踪
Library,摔死,転落死
Library,斗殴致死,喧嘩闘争による死亡
Library,最后的唐门弟子,最後の唐門弟子
Library,最后的暗器,最後の暗器
Library,杀人灭口,口封じ
Library,武林传奇,武林の伝説
Library,殉志而死,志に殉じて死す
Library,殉情,心中
Library,毁灭性声波攻击,破壊的音波攻撃
Library,毒死,毒殺
Library,江湖仇杀令．崆峒,江湖仇殺令・崆峒
Library,泄愤不成反被杀,鬱憤晴らせず逆に殺される
Library,活活打死,撲殺
Library,流浪汉,放浪者
Library,清理门户,家門の粛清
Library,溺死,溺死
Library,点苍剑下亡魂,点蒼剣下の亡魂
Library,烂死,弱すぎて死亡
Library,烦人修仙,煩人修仙
Library,爆体而亡,爆体死
Library,爆头,頭部破裂
Library,独善其身,我が身を保つ
Library,狼的宵夜,狼の夜食
Library,猿鹤虫沙,猿鶴蟲沙（えんかくちゅうさ）
Library,盲剑客,盲目の剣客
Library,相声二人组,漫才二人組
Library,看不顺眼被杀,目障りで殺される
Library,眼睛睁睁看你死,ただ死ぬのを見ているだけ
Library,睡死,睡眠死
Library,砍死,斬殺
Library,神州旅人,神州の旅人
Library,窝囊死,不甲斐なき最期
Library,竹之城,竹の城
Library,累死,過労死
Library,自尽死,自害
Library,自恋,自惚れ
Library,自找死路,自ら死を招く
Library,自食恶果,自業自得
Library,苟且偷生,苟且に行き永らえる
Library,莽撞而死,無謀にて死す
Library,蒙古大夫你,藪医者のあなた
Library,血河刀,血河刀
Library,行尸走肉,歩く屍
Library,被下马威随手杀死,見せしめに殺される
Library,被人借刀杀死,借刀殺人
Library,被关到老,老いるまで獄中に
Library,被反震而死,反動死
Library,被吓死,恐怖死
Library,被太阳晒死,太陽に焼かれて死亡
Library,被女飞贼埋伏刺杀,女盗賊に待ち伏せされ刺殺
Library,被小梅刺杀,小梅に刺殺される
Library,被情敌杀死,恋敵に殺害される
Library,被愤怒的铁匠槌死,憤怒の鍛冶屋に槌で打ち殺される
Library,被揍死,殴り殺される
Library,被海盗喂鱼死,海賊に魚の餌にされ死亡
Library,被炼死,煉り殺される
Library,被烫死,熱湯死
Library,被煮的狗,煮られた犬
Library,被猪拱死,猪に突き殺される
Library,被肉包噎死,肉まんを喉に詰まらせて死亡
Library,被蛇咬死,蛇に噛まれて死ぬ
Library,被誤殺而死,誤殺
Library,被道士当妖怪误杀,道士に妖怪と間違われて誤殺
Library,被雷劈死,雷に打たれて死亡
Library,被马踩死,馬に踏まれて死亡
Library,被鸡腿杀死,鶏ももで殺される
Library,被龙湘误杀,龍湘に誤殺される
Library,西游记,西遊記
Library,谋财害命,強盗殺人
Library,败寇之死,敗者の死
Library,走路不看路而死,不注意による死
Library,赶海人,海を追う人
Library,跟黑暗大法师一样,まるで黑暗大法師（エクゾディア）
Library,这是我家,ここが我が家
Library,退隐江湖,江湖を引退
Library,逃跑失败被处决,逃走失敗により処刑
Library,遭人活活压死,圧死
Library,遭到连累而死,巻き添え死
Library,野心勃勃,野心満々
Library,降魔不成反被降,魔を降せず逆に降される
Library,随便死,適当死
Library,隐世大儒,隠世の大儒
Library,雪山派大弟子,雪山派の一番弟子
Library,飞侠归来,飛俠の帰還
Library,食物中毒死,食中毒死
Library,魂归故里,魂は故郷に
Library,魔王的爪牙,魔王の手先
Library,鸡腿大亨,鶏もも王
Library,黑吃黑失败,盗人の内輪揉め失敗
Misc,中药蜜饯,中薬蜜餞
Misc,健胃药,健胃薬
Misc,听云木剑,聴雲木剣
Misc,唐门改良金创药,唐門改良金創薬
Misc,唐门金创药,唐門金創薬
Misc,失败木剑,失敗木剣
Misc,姜记肉包,姜記肉包
Misc,岁月欺霜残盒,歳月欺霜残盒
Misc,峨嵋雪芽,峨嵋雪芽
Misc,折价卷,割引券
Misc,接骨草,接骨草
Misc,无效健胃药,無効健胃薬
Misc,木剑,木剣
Misc,测试杂物,実験雑物
Misc,海芋的茎,海芋の茎
Misc,湘妃鱼糕,湘妃魚糕
Misc,烤鱼,焼き魚
Misc,烧刀子,焼刀子
Misc,狼毒散,狼毒散
Misc,猴儿酒,猴児酒
Misc,甘蔗,甘蔗
Misc,盐腌山猪肉,塩漬け山猪肉
Misc,磨喝乐,磨喝楽
Misc,纳溪梅岭,納渓梅嶺
Misc,羊羔酒,羊羔酒
Misc,肉干,肉乾
Misc,肉馅馒头,肉餡饅頭
Misc,色纸,色紙
Misc,苏合香酒,蘇合香酒
Misc,茅台酒,茅台酒
Misc,蒙顶露芽,蒙頂露芽
Misc,豆沙包,豆沙包
Misc,金念珠,金の数珠
Misc,降真香,降真香
Misc,黄酒,黄酒
Misc,龙湘的碎银,龍湘の砕銀
Misc,龙象豹力子丹,龍象豹力子丹
PlayerStat,体力,体力
PlayerStat,修养,品性
PlayerStat,儒学,儒学
PlayerStat,内力,内力
PlayerStat,内功,内功
PlayerStat,刀剑,刀剣
PlayerStat,变心,心変わり
PlayerStat,名声,名声
PlayerStat,向心,団結
PlayerStat,命运,運命
PlayerStat,嘴力,弁舌
PlayerStat,处世,処世
PlayerStat,奇门,奇門
PlayerStat,好感度,好感度
PlayerStat,学问,学問
PlayerStat,形意拳,形意拳
PlayerStat,心上人,想い人
PlayerStat,心相,心相
PlayerStat,性情,性情
PlayerStat,抗毒,対毒
PlayerStat,抗麻,対麻痺
PlayerStat,拳掌,拳掌
PlayerStat,攻击,攻撃
PlayerStat,暗器威力,暗器威力
PlayerStat,暗器爆发,暗器爆発
PlayerStat,枪棍,長物
PlayerStat,武学,武学
PlayerStat,毒药,毒薬
PlayerStat,炼丹,錬丹
PlayerStat,爆发,爆発
PlayerStat,腿法,足技
PlayerStat,行动,行動
PlayerStat,行动次数,行動回数
PlayerStat,贡献度,貢献度
PlayerStat,软兵器,軟兵器
PlayerStat,轻功,軽功
PlayerStat,道学,道学
PlayerStat,道德,道徳
PlayerStat,释学,釋学
PlayerStat,银两,銀両
PlayerStat,锻造,鍛造
PlayerStat,门人,門人
PlayerStat,门人数量,門人の数
PlayerStat,门人血量,門人ＨＰ
PlayerStat,门派规模,門派規模
PlayerStat,门派资产,門派資産
PlayerStat,防御,防御
PlayerStat,阴阳,陰陽
PlayerStat,魅力,魅力
PlayerStat,麻痹,麻痺
Position,上清宫,上清宮
Position,下棋,囲碁
Position,义田,共有田
Position,休息,休憩
Position,伙房,厨房
Position,修仙,修仙
Position,修真,修真
Position,修练,稽古
Position,修练,修練
Position,后山,裏山
Position,团练,団体稽古
Position,坐诊,診察
Position,埋伏,身を隠す
Position,外堡,外堡
Position,大门,大門
Position,夺魄峰,奪魄峰
Position,夺魄森林,奪魄の森
Position,女弟子房,女弟子室
Position,工作,仕事
Position,常风观,常風観
Position,庶务,書類仕事
Position,打铁．锻造,鍛冶．鍛造
Position,打铁．锻造,鍛冶・鍛造
Position,扫除,掃除
Position,折纸鹤,鶴を折る
Position,挑战,挑戦
Position,挑柴,薪拾い
Position,掌厨,料理
Position,擂台,闘技場
Position,散步,散歩
Position,无色广场,無色広場
Position,正心堂,正心堂
Position,温泉,温泉
Position,炼丹房,錬丹部屋
Position,炼丹．制药,煉丹．製薬
Position,焚香．掌灯,焚香．掌灯
Position,玄功洞,玄功洞
Position,男弟子房,男弟子室
Position,神秘房子,神秘な部屋
Position,管家,家政
Position,练功场,練武場
Position,练功塔,稽古塔
Position,耕耘,耕作
Position,自由,自由
Position,茶博士,茶博士
Position,茶肆,茶屋
Position,药铺,薬屋
Position,行商,行商
Position,讲经堂,講経堂
Position,读书,読書
Position,赌场,賭場
Position,逛街,散策
Position,道士下山,道士下山
Position,铁拳巷,鉄拳巷
Position,锻冶场,鍛冶場
Position,闲聊,雑談
Position,闹市,繁華街
Position,青城山镇,青城山町
Position,静坐冥想,静坐瞑想
Position,飞天殿,飛天殿
Position,魏菊,魏菊
Special,万灵油药方,万霊油薬方
Special,上官萤的发簪,上官螢の簪
Special,乌蚕宝衣,烏蚕の宝衣
Special,九泉丹方,九泉丹方
Special,五彩龙砂丹,五彩龍砂丹
Special,发簪,髪簪
Special,叫化鸡食谱,叫化鶏食譜
Special,叶云裳的梳子,葉雲裳の櫛
Special,夏侯兰的发带,夏侯蘭の髪紐
Special,大师兄的涂鸦,大師兄の落書き
Special,小师妹的香囊,小師妹の香り袋
Special,小竹按摩券,郁竹の按摩券
Special,崆峒磨喝乐,崆峒磨喝楽
Special,文房四宝,文房四宝
Special,机巧飞蝗,機巧飛蝗
Special,江湖快报一月号,江湖速報一月号
Special,江湖快报七月号,江湖速報七月号
Special,江湖快报三月号,江湖速報三月号
Special,江湖快报九月号,江湖速報九月号
Special,江湖快报二月号,江湖速報二月号
Special,江湖快报五月号,江湖速報五月号
Special,江湖快报八月号,江湖速報八月号
Special,江湖快报六月号,江湖速報六月号
Special,江湖快报十一月号,江湖速報十一月号
Special,江湖快报十二月号,江湖速報十二月号
Special,江湖快报十月号,江湖速報十月号
Special,江湖快报四月号,江湖速報四月号
Special,沥泉枪头,瀝泉槍の穂先
Special,猛火油柜图纸,猛火油櫃の図紙
Special,睡丹药方,睡丹薬方
Special,纸甲图纸,紙甲の図紙
Special,赵活磨喝乐,趙活磨喝楽
Special,还虚丹,還虚丹
Special,连环火箭,連環火箭
Special,连环火箭图纸,連環火箭の図紙
Special,龙湘的发簪,龍湘の簪
StatLevel,中庸,中庸
StatLevel,侠客,侠客
StatLevel,勇敢,勇敢
StatLevel,君子,君子
StatLevel,坏人,悪人
StatLevel,好人,善人
StatLevel,少阳,少陽
StatLevel,少阴,少陰
StatLevel,平静,平静
StatLevel,忧郁,憂鬱
StatLevel,快乐,快楽
StatLevel,恶棍,極悪
StatLevel,懦夫,臆病
StatLevel,暴躁,乱暴
StatLevel,沉着,冷静
StatLevel,疯狂,狂人
StatLevel,知礼,丁寧
StatLevel,矫情,虚飾
StatLevel,粗鲁,無礼
StatLevel,老阳,老陽
StatLevel,老阴,老陰
StatLevel,莽夫,無謀
StatLevel,调和,調和
StatLevel,谨慎,慎重
StatLevel,豪爽,颯爽
